852	"彼の言い訳の型、生まれ月でこんだけちゃう。

9月生まれは理由を三つ並べる。
1月生まれは「ごめん」だけで説明せん。

説明が長い方が、後ろめたい。
あんたの彼、何月生まれ？"	2026-09-01 23:00:00	scheduled					
853	"彼から電話が来る時。生まれ月で意味がちゃうで。

3月生まれは酔うた勢い。
10月生まれは何日も考えてから、やっと押す。

かかってきた重さがちゃう。
あんたの彼、何月生まれ？"	2026-09-02 00:30:00	scheduled					
854	"既婚とか、人に言われへん関係を抱えとる子。

ここでは名前も事情も要らん。
そんな恋を一人で抱えて、今日もちゃんと働いた。
それだけで、じゅうぶん強いで。

読んだ子は🌙だけ置いてって。"	2026-09-02 02:00:00	scheduled					
855	"今しんどい子に、二択だけ聞くわ。

彼から連絡が来んのと、来ても中身が薄いんと、
どっちがきつい？

一と二で答えて。多い方の話を、次に書くわ。"	2026-09-02 03:30:00	scheduled					
856	"彼のこと考えてまう時間、一日でどれくらいある？

一時間以内なら1。
半分以上なら2。
起きとる間ずっとなら3。

数字だけでええ。正直なとこ書いてみ。"	2026-09-02 05:00:00	scheduled					
857	"この時間に起きとる子。

眠れんのは、体が疲れてへんからやない。
頭の中で、まだ会話が続いとるからや。

その会話、もう終わらせてええで。
今日は寝よか。"	2026-09-02 06:30:00	scheduled					
858	"「重い女」て思われたないから、送るのやめた子。

その我慢な、彼には一ミリも届いてへんで。
届いてへんもんを我慢しても、点にならん。

あんた、我慢しすぎや。"	2026-09-02 08:00:00	scheduled					
859	"手放すいうんは、嫌いになることやない。

好きなまま、待つのをやめるだけや。
そこを混ぜて考えるから、いつまでも動けん。

好きでええ。待つのだけ、やめてみ。"	2026-09-02 09:30:00	scheduled					
860	"今、彼にLINEを打って消した子。

打ったんは弱さやない。
消したんも弱さやない。

どっちもあんたが、この恋を大事にしとる証拠や。"	2026-09-02 11:00:00	scheduled					
861	"ウチは慰めの嘘は言わん。

戻る縁と、戻らん縁がある。
それを「大丈夫やで」で濁す占い師にはならん。

本音が聞ける子だけ、ここにおり。"	2026-09-02 12:30:00	scheduled					
862	"彼の「今は自分のことで精一杯」いう言葉。

あれ、断り文句やない子もおる。
ほんまに手一杯なだけの子もおる。

見分けは、その前の三日でつく。
当てはまった子は🌙で教えて。"	2026-09-02 14:00:00	scheduled					
